ign,ACS,K,D,A,HS%,Ace
ItznotHawk#6912,265,17,14,0,0.23,0
PortgazDAdzz#AD969,149,9,17,3,0.16,0
putuputu37#1337,121,7,16,1,0.16,0
ssdian#Hmmm,171,10,17,3,0.15,0
,891,,,,,
,,,,,,
,,,,,,
G23,,,,,,
,1117,,,,,
Team RushB,ACS,K,D,A,HS%,Ace
CPX forb1dden#GNRC,281,27,18,5,0.29,0
CPX sinner#GNRC,193,19,20,5,0.30,0
CPX Vainn#GNRC,232,21,19,9,0.24,0
EIongated#007,159,18,16,6,0.28,0
JoeMama#beach,252,26,13,9,0.28,0
PleaseDontBully,ACS,K,D,A,HS%,Ace
daddykelashikhao#hoya,164,14,24,8,0.18,0
Frustration#Dead,133,14,19,6,0.08,0
Heisenberg#FEAR,219,20,24,6,0.14,0
KingOfTheStorm#gwyn,221,20,22,3,0.21,0
SHresTho12#nice,196,18,22,4,0.16,0
,933,,,,,
,,,,,,
,,,,,,
G26,,,,,,
,585,,,,,
Drudge'20,ACS,K,D,A,HS%,Ace
azmainahnaf#king,98,5,13,1,0.13,0
Fahim Muntasir#4443,94,3,15,1,0.11,0
GenX ShabZx9#ShabZ,147,8,14,2,0.25,0
Tzeyyy#0720,125,5,14,2,0.08,0
WazihTaosik#4724,121,6,13,2,0.10,0
Cigarettes After Ace,ACS,K,D,A,HS%,Ace
CHURUxZenHance#1248,257,13,7,7,0.23,0
Jelly#Pupu,136,8,3,2,0.06,0
PredictableNot#5259,362,19,6,6,0.04,0
ST3EL#Jadu,223,13,5,5,0.22,0
WadoHeck#3255,284,16,6,4,0.21,0
,1262,,,,,
,,,,,,
,,,,,,
G28,,,,,,
,564,,,,,
Drudge'20,ACS,K,D,A,HS%,Ace
Fahim Muntasir#4443,168,6,13,1,0.16,0
GenX ShabZx9#ShabZ,81,3,13,1,0.17,0
Tasdid002#8534,86,3,14,0,0.04,0
Tzeyyy#0720,105,2,13,2,0.03,0
WazihTaosik#4724,124,5,13,1,0.28,0
No,ACS,K,D,A,HS%,Ace
CANTSHOOT420#3420,344,18,3,0,0.44,0
CHIDORI 千鳥#senya,211,11,6,5,0.10,0
MiPro#123,222,11,2,4,0.35,0
NotJoonr#inoob,176,8,4,4,0.23,0
xXpronehubXx#noob,399,18,4,7,0.08,0
,1352,,,,,
,,,,,,
,,,,,,
G29,,,,,,
,1100,,,,,
N0,ACS,K,D,A,HS%,Ace
